"","int_vote_trump","voted_trump","int_vote_clinton","voted_clinton","lib_conserv_scale","white_voter","latino_voter","swing_voter","swing_trump","swing_hillary","region","age","religion_important_life"
"200",1,0,0,0,3,1,0,1,0,0,"South",50,0
"201",0,0,0,0,5,1,0,0,0,0,"West",30,0
"202",0,0,0,0,5,1,0,0,0,0,"Midwest",29,0
"203",0,0,1,1,3,1,1,0,0,0,"South",63,1
"204",0,0,0,0,4,1,0,0,0,0,"Midwest",88,0
"205",0,0,1,1,2,1,0,0,0,0,"South",25,0
"206",0,0,1,1,2,1,0,0,0,0,"South",60,1
"207",1,1,0,0,5,1,0,0,0,0,"West",62,1
"208",0,0,0,0,6,1,0,0,0,0,"Midwest",49,1
"209",1,1,0,0,6,1,0,0,0,0,"Midwest",80,1
"210",0,1,1,0,3,1,0,1,1,0,"South",22,1
"211",0,0,0,0,6,1,1,0,0,0,"South",23,1
"212",0,0,1,1,4,0,0,0,0,0,"South",19,1
"213",0,0,1,1,2,1,0,0,0,0,"Northeast",90,1
"214",0,0,0,0,4,1,0,0,0,0,"Midwest",31,1
"215",1,1,0,0,7,1,0,0,0,0,"South",59,1
"216",0,0,0,0,6,1,0,0,0,0,"West",45,0
"217",0,0,0,1,4,1,0,0,0,1,"Midwest",66,1
"218",1,1,0,0,6,1,0,0,0,0,"South",23,1
"219",0,0,1,1,4,0,1,0,0,0,"South",26,0
"220",1,1,0,0,6,1,0,0,0,0,"Midwest",59,1
"221",0,1,0,0,2,1,0,1,1,0,"South",63,1
"222",0,0,1,0,6,0,0,0,0,0,"South",28,1
"223",1,0,0,0,6,1,0,1,0,0,"Midwest",27,1
"224",1,0,0,0,6,1,0,1,0,0,"South",40,1
"225",0,1,0,0,4,1,0,1,1,0,"Northeast",71,1
"226",0,0,0,0,3,1,0,0,0,0,"Midwest",27,0
"227",1,0,0,0,4,1,0,1,0,0,"South",48,1
"228",0,0,0,0,5,1,1,0,0,0,"Midwest",49,1
"229",0,0,1,1,3,1,0,0,0,0,"Midwest",24,0
"230",0,0,1,1,3,1,0,0,0,0,"West",78,1
"231",1,1,0,0,5,1,0,0,0,0,"South",24,1
"232",1,1,0,0,6,1,1,0,0,0,"Northeast",63,1
"233",0,0,1,1,1,1,1,0,0,0,"South",71,1
"234",0,0,0,0,4,1,0,0,0,0,"Midwest",44,0
"235",1,0,0,0,6,1,0,1,0,0,"South",30,1
"236",0,0,0,0,4,1,0,0,0,0,"South",21,0
"237",0,0,0,0,6,1,0,0,0,0,"Midwest",29,1
