"int_vote_trump","voted_trump","int_vote_clinton","voted_clinton","lib_conserv_scale","white_voter","latinx_voter","swing_voter","swing_trump","swing_hillary","region","age","religion_important_life"
0,0,0,1,0.521501851318627,0,0,0,0,1,"South",30,1
1,1,0,0,-0.103250366536238,1,0,0,0,0,"Midwest",87,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"West",56,0
0,0,0,0,1.14625406917349,1,0,0,0,0,"Midwest",23,0
0,0,0,0,1.14625406917349,1,1,0,0,0,"West",71,1
0,0,1,1,-1.35275480224597,1,0,0,0,0,"West",19,0
0,0,0,0,-0.103250366536238,1,0,0,0,0,"Midwest",44,0
0,0,0,0,-0.103250366536238,1,0,0,0,0,"West",21,0
0,0,1,0,-0.728002584391104,0,1,0,0,0,"West",23,1
0,0,1,0,-0.728002584391104,1,0,0,0,0,"South",41,0
1,1,0,0,1.77100628702836,1,0,0,0,0,"South",78,1
0,0,0,0,1.14625406917349,0,1,0,0,0,"South",74,1
0,0,0,0,-0.103250366536238,1,0,0,0,0,"Midwest",40,1
1,0,0,0,1.14625406917349,1,0,1,0,0,"South",53,0
1,1,0,0,1.77100628702836,1,0,0,0,0,"South",63,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"West",65,1
1,1,0,0,-0.103250366536238,1,0,0,0,0,"South",64,1
0,0,1,1,1.14625406917349,1,0,0,0,0,"South",24,0
0,0,1,1,-0.103250366536238,0,0,0,0,0,"South",50,1
0,0,0,0,0.521501851318627,0,0,0,0,0,"South",23,1
0,0,1,0,-1.35275480224597,1,0,0,0,0,"South",25,0
1,0,0,0,0.521501851318627,1,0,1,0,0,"South",44,1
0,0,1,1,-1.97750702010084,1,0,0,0,0,"West",76,0
0,0,0,0,0.521501851318627,1,0,0,0,0,"Midwest",68,1
0,0,1,0,-0.103250366536238,0,0,0,0,0,"West",21,0
0,0,0,0,1.14625406917349,1,0,0,0,0,"South",67,1
1,1,0,0,1.14625406917349,1,0,0,0,0,"Midwest",68,1
0,0,1,1,-1.97750702010084,0,0,0,0,0,"Northeast",35,0
1,1,0,0,0.521501851318627,1,0,0,0,0,"West",61,0
