"precinct","elecyear","propturbine","perc_lib"
"58.176.58.238.",2011,0,0.277173913
"58.181.58.159.",2011,0,0.370833333
"58.186.58.162.",2011,0,0.421965318
"58.222.58.177.",2011,0,0.417112299
"67.002s.67.701.",2011,0,0.166666667
"67.036.67.37.",2011,0,0.157534247
"67.038.67.6.",2011,0,0.247663551
"67.041.67.38.",2011,0,0.367697595
"67.086.67.55.",2011,0,0.37755102
"67.087.67.8.",2011,0,0.25388601
"67.122.67.13.",2011,0,0.174129353
"67.125.67.122.",2011,1,0.169642857
"67.165.67.125.",2011,0,0.105042017
"67.187.67.120.",2011,0,0.146520147
"67.188.67.120.",2011,0,0.146520147
"67.224.67.159.",2011,0,0.219895288
"69.013.69.69.",2011,0,0.195876289
"69.015.69.65.",2011,0,0.11971831
"69.032.69.75.",2011,0,0.114035088
"69.037.69.6.",2011,0,0.165354331
"69.044.69.79.",2011,0,0.18487395
"69.052.69.85.",2011,0,0.168478261
"69.056.69.14.",2011,0,0.154761905
"69.057.69.42.",2011,0,0.273195876
"69.069.69.33.",2011,0,0.227642276
"69.081s.69.703.",2011,0,0.19047619
"69.098.69.97.",2011,0,0.12195122
"69.105.69.99.",2011,0,0.163120567
"69.111.69.110.",2011,0,0.252336449
"69.116.69.107.",2011,0,0.1125
"69.127.69.41.",2011,0,0.17721519
"69.131.69.120.",2011,0,0.157894737
"69.139.69.115.",2011,0,0.235294118
"69.140.69.135.",2011,0,0.183206107
"69.149.69.128.",2011,0,0.168604651
"69.151.69.131.",2011,0,0.232704403
"69.179.69.144.",2011,0,0.180952381
"69.193.69.138.",2011,0,0.112359551
"69.212.69.173.",2011,0,0.164772727
"69.216.69.177.",2011,0,0.221374046
"69.221.69.174.",2011,0,0.18705036
"69.232.69.58.",2011,0,0.260869565
"70.014.70.5.",2011,0,0.309782609
"70.022.70.24.",2011,0,0.292307692
"70.023.70.4.",2011,0,0.323353293
"70.024s.70.700.",2011,0,0.42
"70.032.70.9.",2011,0,0.315217391
"70.035s.70.701.",2011,0,0.380952381
"70.049.70.34.",2011,0,0.357575758
"70.058.70.60.",2011,0,0.39800995
"70.075.70.49.",2011,0,0.352112676
"70.095.70.86.",2011,0,0.347368421
"70.113-1s.70.706.",2011,0,0.402439024
"70.113.70.70.",2011,0,0.422594142
"70.114.70.71.",2011,0,0.363057325
"70.123.70.76.",2011,0,0.376106195
"70.125.70.88.",2011,0,0.24375
"70.227.70.156.",2011,0,0.398734177
"73.002.73.2.",2011,0,0.25
"73.003.73.1.",2011,0,0.36
"73.004.73.6.",2011,0,0.15936255
"73.012.73.14.",2011,0,0.251655629
"73.017.73.12.",2011,0,0.314465409
"73.030.73.21.",2011,0,0.205882353
"73.035.73.23.",2011,0,0.262931034
"73.051.73.26.",2011,0,0.370588235
"73.058.73.41.",2011,0,0.475903614
"73.061.73.46.",2011,0,0.436464088
"73.082.73.56.",2011,0,0.333333333
